ts_code,trade_date,open,high,low,收盘价,vol,amount,MA5,MA10,MA20,MA60
600519.SH,2026-01-12,1419.1,1431.0,1417.1,1423.23,36082.66,5135636.033,,,,
600519.SH,2026-01-13,1426.79,1429.52,1408.99,1411.0,39168.66,5555633.779,,,,
600519.SH,2026-01-14,1411.0,1422.25,1396.18,1398.01,51757.97,7285041.159,,,,
600519.SH,2026-01-15,1396.02,1402.83,1388.58,1388.89,40907.14,5698739.671,,,,
600519.SH,2026-01-16,1395.0,1397.5,1380.0,1382.0,55120.68,7643061.998,1400.626,,,
600519.SH,2026-01-19,1381.9,1387.49,1375.0,1376.0,42286.4,5833745.442,1391.1799999999998,,,
600519.SH,2026-01-20,1379.5,1381.58,1372.05,1373.55,36484.43,5021900.765,1383.69,,,
600519.SH,2026-01-21,1373.56,1374.4,1350.0,1351.06,64516.25,8775880.803,1374.3,,,
600519.SH,2026-01-22,1352.01,1361.76,1337.48,1340.06,59010.89,7962441.434,1364.534,,,
600519.SH,2026-01-23,1340.1,1348.0,1332.47,1337.0,61948.9,8301311.489,1355.534,1378.08,,
600519.SH,2026-01-26,1340.51,1355.0,1325.12,1342.0,80166.06,10751225.525,1348.734,1369.9569999999999,,
600519.SH,2026-01-27,1344.98,1353.7,1338.0,1343.01,48415.96,6514513.216,1342.6259999999997,1363.158,,
600519.SH,2026-01-28,1343.04,1346.71,1322.01,1323.69,76218.01,10135019.524,1337.152,1355.726,,
600519.SH,2026-01-29,1335.0,1445.0,1329.06,1437.72,189534.4,26305591.086,1356.684,1360.609,,
600519.SH,2026-01-30,1435.0,1435.0,1401.0,1401.0,94479.74,13366329.414,1369.484,1362.509,,
600519.SH,2026-02-02,1425.0,1458.58,1411.62,1427.0,85724.27,12312646.443,1386.484,1367.609,,
600519.SH,2026-02-03,1445.0,1476.81,1443.03,1474.92,86320.66,12628439.703,1412.866,1377.7459999999999,,
600519.SH,2026-02-04,1485.0,1533.27,1474.0,1525.0,109122.93,16444345.98,1453.1280000000002,1395.1399999999999,,
600519.SH,2026-02-05,1520.0,1565.0,1515.0,1555.0,91622.74,14183456.476,1476.584,1416.634,,
600519.SH,2026-02-06,1555.0,1568.0,1505.88,1515.01,78965.38,12019878.669,1499.386,1434.435,1406.2575000000002,
600519.SH,2026-02-09,1518.0,1542.88,1513.49,1524.96,51168.46,7809067.705,1518.9779999999998,1452.7310000000002,1411.344,
600519.SH,2026-02-10,1524.97,1524.97,1496.5,1504.8,39575.96,5953269.321,1524.954,1468.91,1416.034,
600519.SH,2026-02-11,1504.8,1514.0,1496.0,1504.33,30928.46,4648360.03,1520.82,1486.974,1421.35,
600519.SH,2026-02-12,1500.2,1502.82,1473.36,1486.6,46245.82,6874370.113,1507.1399999999999,1491.862,1426.2355,
600519.SH,2026-02-13,1486.6,1507.8,1470.58,1485.3,41679.01,6216379.203,1501.1979999999999,1500.292,1431.4005,
600519.SH,2026-02-24,1521.0,1524.4,1463.6,1466.8,41912.53,6198840.572,1489.5659999999998,1504.2720000000002,1435.9405,
600519.SH,2026-02-25,1470.0,1509.66,1467.88,1491.66,36880.67,5490316.149,1486.938,1505.9460000000001,1441.846,
600519.SH,2026-02-26,1486.6,1489.49,1464.67,1466.21,32958.01,4855471.43,1479.3139999999999,1500.067,1447.6035,
600519.SH,2026-02-27,1466.99,1476.21,1455.02,1455.02,32160.16,4697692.477,1472.998,1490.069,1453.3515,
600519.SH,2026-03-02,1450.0,1457.0,1436.66,1440.11,35453.86,5115063.511,1463.96,1482.5790000000002,1458.507,
600519.SH,2026-03-03,1440.1,1452.87,1422.13,1426.19,45890.86,6565381.648,1455.8380000000002,1472.7019999999998,1462.7165,
600519.SH,2026-03-04,1415.0,1423.0,1392.09,1401.18,48014.43,6743267.103,1437.7420000000002,1462.34,1465.625,
600519.SH,2026-03-05,1406.0,1412.96,1395.0,1399.04,30505.24,4276226.062,1424.3079999999998,1451.8110000000001,1469.3925,
600519.SH,2026-03-06,1395.0,1407.5,1388.0,1402.0,29154.15,4072328.833,1413.7040000000002,1443.351,1467.6064999999999,
600519.SH,2026-03-09,1390.0,1404.9,1383.2,1397.0,37441.62,5220095.639,1405.0819999999999,1434.5210000000002,1467.4064999999998,
600519.SH,2026-03-10,1404.9,1409.49,1398.0,1401.88,24625.92,3457808.916,1400.22,1428.029,1466.1505,
600519.SH,2026-03-11,1402.99,1405.99,1398.02,1400.0,24456.73,3425363.892,1399.984,1418.8629999999998,1462.4045,
600519.SH,2026-03-12,1395.0,1403.95,1391.01,1392.0,27586.46,3850521.717,1398.5760000000002,1411.442,1455.7545,
600519.SH,2026-03-13,1392.48,1417.62,1392.0,1413.64,33607.83,4738808.558,1400.904,1407.304,1448.6865,
600519.SH,2026-03-16,1420.0,1466.0,1420.0,1460.18,60086.35,8711525.836,1413.5400000000002,1409.3110000000001,1445.945,
600519.SH,2026-03-17,1468.0,1498.07,1461.19,1485.0,49453.61,7347310.632,1430.164,1415.1920000000002,1443.947,
600519.SH,2026-03-18,1489.0,1496.5,1463.15,1468.8,35551.0,5239992.522,1443.924,1421.9540000000002,1442.147,
600519.SH,2026-03-19,1472.96,1473.0,1446.0,1452.87,30318.59,4404953.481,1456.0980000000002,1427.337,1439.574,
600519.SH,2026-03-20,1452.96,1462.5,1439.0,1445.0,26132.34,3782818.26,1462.3700000000001,1431.637,1437.4940000000001,
600519.SH,2026-03-23,1433.33,1435.0,1400.03,1408.07,47255.89,6669708.665,1451.9479999999999,1432.744,1433.6325000000002,
600519.SH,2026-03-24,1416.0,1417.59,1400.18,1407.33,28561.79,4017694.387,1436.414,1433.289,1430.659,
600519.SH,2026-03-25,1410.11,1417.87,1401.01,1410.27,26093.46,3677905.549,1424.7079999999999,1434.316,1426.5895,
600519.SH,2026-03-26,1409.0,1413.9,1400.3,1401.18,23092.89,3243387.502,1414.37,1435.234,1423.338,
600519.SH,2026-03-27,1400.0,1426.0,1396.66,1416.02,30087.11,4257499.781,1408.574,1435.472,1421.388,
600519.SH,2026-03-30,1407.0,1431.0,1402.52,1420.0,28684.59,4060684.934,1410.96,1431.4540000000002,1420.3825000000002,
600519.SH,2026-03-31,1468.0,1479.93,1448.41,1450.0,61690.66,9015486.797,1419.4940000000001,1427.9540000000002,1421.5729999999999,
600519.SH,2026-04-01,1464.49,1469.99,1452.88,1459.44,29125.14,4256185.472,1429.328,1427.018,1424.4859999999999,
600519.SH,2026-04-02,1459.44,1464.88,1452.1,1459.88,21064.37,3071809.846,1441.068,1427.719,1427.528,
600519.SH,2026-04-03,1459.54,1469.96,1455.0,1460.0,20193.73,2953993.081,1449.864,1429.219,1430.428,
600519.SH,2026-04-07,1460.05,1470.0,1435.05,1440.02,24152.18,3507471.653,1453.868,1432.414,1432.5790000000002,
600519.SH,2026-04-08,1460.0,1469.08,1452.13,1465.02,33836.1,4947937.007,1456.8719999999998,1438.1830000000002,1435.736,
600519.SH,2026-04-09,1465.02,1465.02,1447.5,1460.49,20704.76,3012278.579,1457.0819999999999,1443.2050000000002,1438.7604999999999,
600519.SH,2026-04-10,1459.14,1459.71,1441.1,1453.96,28865.56,4187181.529,1455.898,1448.483,1441.8585,
600519.SH,2026-04-13,1444.0,1446.5,1433.0,1443.31,25213.64,3629675.49,1452.56,1451.212,1443.342,
600519.SH,2026-04-14,1442.6,1448.6,1435.0,1446.9,24232.61,3492544.23,1453.9360000000001,1453.902,1442.678,1431.6268333333333
600519.SH,2026-04-15,1444.98,1470.79,1442.0,1467.5,34553.48,5049317.187,1454.432,1455.652,1441.803,1432.3646666666668
600519.SH,2026-04-16,1467.45,1477.41,1460.0,1462.84,24512.84,3597294.838,1454.902,1455.992,1441.505,1433.2286666666666
600519.SH,2026-04-17,1400.0,1421.0,1399.87,1407.24,96824.99,13631929.446,1445.5579999999998,1450.728,1439.2234999999998,1433.3825
600519.SH,2026-04-20,1403.0,1413.94,1400.0,1410.89,36451.39,5127146.041,1439.074,1445.817,1437.518,1433.7491666666667
600519.SH,2026-04-21,1411.0,1419.9,1410.0,1412.01,21754.27,3074595.192,1432.096,1443.016,1437.715,1434.2493333333332
600519.SH,2026-04-22,1415.0,1419.0,1404.98,1409.5,26915.93,3793827.534,1420.4959999999999,1437.464,1437.8235,1434.8076666666666
600519.SH,2026-04-23,1408.0,1419.7,1405.1,1419.0,37701.09,5332831.151,1411.728,1433.315,1438.26,1435.5651666666668
600519.SH,2026-04-24,1413.1,1458.88,1413.1,1458.49,55455.31,8003410.999,1421.9779999999998,1433.768,1441.1255,1437.3556666666666
600519.SH,2026-04-27,1420.0,1420.0,1402.2,1403.2,72797.74,10239763.452,1420.44,1429.757,1440.4845,1438.408
600519.SH,2026-04-28,1402.0,1409.39,1400.11,1405.0,34004.42,4772513.712,1419.038,1425.567,1439.7345,1439.5413333333333
600519.SH,2026-04-29,1405.0,1409.75,1400.28,1401.17,34813.13,4881691.348,1417.372,1418.934,1437.2930000000001,1440.5275
600519.SH,2026-04-30,1400.0,1401.17,1380.0,1384.79,52752.67,7316111.748,1410.53,1411.129,1433.5605,1441.2238333333335
600519.SH,2026-05-06,1365.1,1379.0,1360.05,1375.0,47806.04,6550750.94,1393.8319999999999,1407.905,1429.3165000000001,1442.0790000000002
600519.SH,2026-05-07,1375.0,1388.0,1370.01,1371.05,40461.47,5573286.315,1387.4019999999998,1403.921,1424.8690000000001,1440.9678333333331
600519.SH,2026-05-08,1371.66,1382.77,1370.0,1372.99,33368.53,4582855.939,1381.0,1400.019,1421.5175,1440.501
600519.SH,2026-05-11,1372.89,1372.89,1361.0,1361.33,57135.1,7790721.392,1373.032,1395.202,1416.333,1439.4065
